backdrop_path,belongs_to_collection,genres,id,origin_country,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,tagline,title,vote_average,vote_count,cast,cast_size,director,crew_size,budget_musd,revenue_musd
/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,The Avengers Collection,Adventure|Science Fiction|Action,299534,['US'],en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",18.7391,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,Marvel Studios,United States of America,2019-04-24,181.0,English|日本語|,Avenge the fallen.,Avengers: Endgame,8.235,27374,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Josh Brolin|Don Cheadle|Paul Rudd|Benedict Cumberbatch,104,Anthony Russo,610,356.0,2799.4391
/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,Avatar Collection,Action|Adventure|Science Fiction,19995,['US'],en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",28.427,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners,United States of America|United Kingdom,2009-12-16,162.0,English|Español,Enter the world of Pandora.,Avatar,7.6,33622,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso,67,James Cameron,996,237.0,2923.706026
/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg,Star Wars Collection,Adventure|Action|Science Fiction,140607,['US'],en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",11.6195,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Lucasfilm Ltd.|Bad Robot,United States of America,2015-12-15,136.0,English,Every generation has a story.,Star Wars: The Force Awakens,7.25,20353,Daisy Ridley|John Boyega|Oscar Isaac|Adam Driver|Carrie Fisher|Harrison Ford|Mark Hamill|Lupita Nyong'o|Andy Serkis|Domhnall Gleeson,99,J.J. Abrams,265,245.0,2068.223624
/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,The Avengers Collection,Adventure|Action|Science Fiction,299536,['US'],en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",34.5686,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Marvel Studios,United States of America,2018-04-25,149.0,English|,Destiny arrives all the same.,Avengers: Infinity War,8.234,31613,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo|Scarlett Johansson|Don Cheadle|Benedict Cumberbatch|Tom Holland|Chadwick Boseman,69,Joe Russo,738,300.0,2052.415039
/qBChUbS8ksbJoPTfZpogsnxG5tY.jpg,,Drama|Romance,597,['US'],en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",27.4398,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Paramount Pictures|20th Century Fox|Lightstorm Entertainment,United States of America,1997-12-18,194.0,English|Français|Deutsch|svenska|Italiano|Pусский,Nothing on earth could come between them.,Titanic,7.903,26892,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher|Gloria Stuart|Bill Paxton|Bernard Hill|David Warner|Victor Garber,116,James Cameron,264,200.0,2264.162353
/s5QfDFqRO6sjgPtKkjxD0WqXQef.jpg,Jurassic Park Collection,Action|Adventure|Science Fiction|Thriller,135397,['US'],en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",11.5858,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Amblin Entertainment|Universal Pictures|Legendary Pictures,United States of America,2015-06-06,124.0,English,The park is open.,Jurassic World,6.699,21395,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins|Nick Robinson|Jake Johnson|Omar Sy|BD Wong|Judy Greer,53,Colin Trevorrow,428,150.0,1671.537444
/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,The Lion King (Reboot) Collection,Adventure|Drama|Family|Animation,420818,['US'],en,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",9.9665,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,Walt Disney Pictures|Fairview Entertainment,United States of America,2019-07-12,118.0,English,The king has returned.,The Lion King,7.097,10669,Chiwetel Ejiofor|John Oliver|Donald Glover|James Earl Jones|John Kani|Alfre Woodard|Beyoncé|JD McCrary|Shahadi Wright Joseph|Penny Johnson Jerald,20,Jon Favreau,52,260.0,1662.020819
/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,The Avengers Collection,Science Fiction|Action|Adventure,24428,['US'],en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",47.2611,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Marvel Studios,United States of America,2012-04-25,143.0,English|हिन्दी|Pусский,Some assembly required.,The Avengers,7.968,36517,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Tom Hiddleston|Clark Gregg|Cobie Smulders|Stellan Skarsgård,112,Joss Whedon,642,220.0,1518.815515
/ehzI1mVcnHqB58NqPyQwpMqcVoz.jpg,The Fast and the Furious Collection,Action|Crime|Thriller,168259,['US'],en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,10.2536,/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Original Film|One Race|Universal Pictures,United States of America,2015-04-01,139.0,العربية|English|Español|ภาษาไทย,Vengeance hits home.,Furious 7,7.219,11183,Vin Diesel|Paul Walker|Dwayne Johnson|Michelle Rodriguez|Tyrese Gibson|Ludacris|Jordana Brewster|Jason Statham|Kurt Russell|Nathalie Emmanuel,49,James Wan,230,190.0,1515.4
/kIBK5SKwgqIIuRKhhWrJn3XkbPq.jpg,The Avengers Collection,Action|Adventure|Science Fiction,99861,['US'],en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",16.9065,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Marvel Studios,United States of America,2015-04-22,141.0,English,A new age has come.,Avengers: Age of Ultron,7.27,24196,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson,74,Joss Whedon,655,235.0,1405.403694
/19Ed4XgjahPm4U8JT7SnntERIlt.jpg,Black Panther Collection,Action|Adventure|Science Fiction,284054,['US'],en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",15.0837,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,Marvel Studios,United States of America,2018-02-13,135.0,English|한국어/조선말|Kiswahili|,Long live the king.,Black Panther,7.362,23266,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira|Martin Freeman|Daniel Kaluuya|Letitia Wright|Winston Duke|Sterling K. Brown|Angela Bassett,66,Ryan Coogler,570,200.0,1349.926083
